HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385203,01/01/1995 00:00:00,04/30/1997 00:00:00,85,,
385203,05/01/1997 00:00:00,12/31/2000 00:00:00,84,,
385203,01/01/2001 00:00:00,05/01/2007 00:00:00,654,carolyn,2001-04-25 00:00:00.000000
385203,05/02/2007 00:00:00,12/31/2999 00:00:00,1738,Admin,2007-06-11 00:00:00.000000
385204,02/02/1994 00:00:00,12/31/1998 00:00:00,69,,
385204,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385204,01/01/2000 00:00:00,04/30/2015 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385204,05/01/2015 00:00:00,12/31/2999 00:00:00,2496,Admin,2015-05-01 00:00:00.000000
385205,12/17/1993 00:00:00,05/31/1998 00:00:00,87,,
385205,06/01/1998 00:00:00,09/01/2006 00:00:00,86,,
385205,09/02/2006 00:00:00,07/31/2009 00:00:00,1662,Admin,2006-09-01 00:00:00.000000
385206,11/15/1993 00:00:00,12/31/2999 00:00:00,88,,
385207,10/27/1993 00:00:00,12/31/2012 00:00:00,89,,
385207,01/01/2013 00:00:00,12/31/2999 00:00:00,2455,Admin,2013-01-03 00:00:00.000000
385208,01/01/1995 00:00:00,10/01/2003 00:00:00,90,,
385208,10/02/2003 00:00:00,03/31/2013 00:00:00,442,carolyn,2003-10-01 00:00:00.000000
385208,04/01/2013 00:00:00,12/31/2999 00:00:00,2496,Admin,2013-04-01 00:00:00.000000
385210,11/08/1993 00:00:00,12/07/2000 00:00:00,91,,
385211,11/12/1993 00:00:00,05/31/1997 00:00:00,93,,
385211,06/01/1997 00:00:00,12/31/2999 00:00:00,92,,
385212,12/29/1994 00:00:00,06/30/2000 00:00:00,60,,
385212,07/01/2000 00:00:00,09/02/2011 00:00:00,436,CAROLYN,2000-07-13 00:00:00.000000
385213,02/02/1994 00:00:00,06/30/1998 00:00:00,69,,
385213,07/01/1998 00:00:00,01/26/2001 00:00:00,29,,
385214,02/02/1994 00:00:00,12/31/1998 00:00:00,69,,
385214,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385214,01/01/2000 00:00:00,12/31/2999 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385217,12/29/1994 00:00:00,05/31/1997 00:00:00,95,,
385217,06/01/1997 00:00:00,12/31/2999 00:00:00,94,,
385218,11/30/1993 00:00:00,07/01/2004 00:00:00,96,,
385218,07/02/2004 00:00:00,12/31/2999 00:00:00,442,Admin,2004-07-01 00:00:00.000000
385219,11/15/1993 00:00:00,06/30/2015 00:00:00,60,,
385219,07/01/2015 00:00:00,12/31/2999 00:00:00,2883,Admin,2015-07-01 00:00:00.000000
385220,12/08/1993 00:00:00,10/01/2003 00:00:00,97,,
385220,10/02/2003 00:00:00,03/01/2006 00:00:00,1155,carolyn,2003-10-01 00:00:00.000000
385220,03/02/2006 00:00:00,12/31/2999 00:00:00,1539,Admin,2006-03-01 00:00:00.000000
385221,12/29/1994 00:00:00,12/31/1998 00:00:00,69,,
385221,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385221,01/01/2000 00:00:00,03/31/2013 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385221,04/01/2013 00:00:00,12/31/2999 00:00:00,2496,Admin,2013-04-01 00:00:00.000000
385222,11/15/1993 00:00:00,12/31/1996 00:00:00,57,,
